headers=16
lattice=1
N=4096
D=2
maxAttachments=4
folded=1
phi=0.100382
alpha=0.500000
x0_lo=0.000000
x0_hi=202.000000
x1_lo=0.000000
x1_hi=202.000000
x0_periodic=1
x1_periodic=1
seedMass=1000000000000.000000
columns=11
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
0,70.500000,110.500000,1,1,1.000000,2,1022,2490,NaN,NaN
1,5.500000,95.500000,1,1,1.000000,4,3178,2422,3356,2678
2,185.500000,172.500000,1,1,1.000000,2,1358,3038,NaN,NaN
3,23.500000,18.500000,1,1,1.000000,3,842,3519,28,NaN
4,74.500000,109.500000,1,1,1.000000,2,3869,1915,NaN,NaN
5,64.500000,89.500000,1,1,1.000000,3,3420,735,2455,NaN
6,135.500000,177.500000,1,1,1.000000,3,2999,3501,1113,NaN
7,124.500000,199.500000,1,1,1.000000,3,1068,640,3411,NaN
8,2.500000,187.500000,1,1,1.000000,2,766,1699,NaN,NaN
9,106.500000,175.500000,1,1,1.000000,2,1715,42,NaN,NaN
10,117.500000,114.500000,0,1,1.000000,1,3081,NaN,NaN,NaN
11,81.500000,152.500000,0,1,1.000000,2,3075,4075,NaN,NaN
12,79.500000,141.500000,0,1,1.000000,1,3741,NaN,NaN,NaN
13,1.500000,186.500000,0,1,1.000000,2,1699,3029,NaN,NaN
14,196.500000,94.500000,0,1,1.000000,2,3655,4048,NaN,NaN
15,10.500000,187.500000,0,1,1.000000,3,2458,219,2396,NaN
16,52.500000,120.500000,0,1,1.000000,3,2705,3192,1388,NaN
17,104.500000,151.500000,0,1,1.000000,4,2904,2156,2358,560
18,5.500000,113.500000,0,1,1.000000,3,2559,784,3396,NaN
19,1.500000,79.500000,0,1,1.000000,2,1931,3956,NaN,NaN
20,82.500000,138.500000,0,1,1.000000,2,4060,301,NaN,NaN
21,1.500000,181.500000,0,1,1.000000,3,552,2623,2081,NaN
22,136.500000,170.500000,0,1,1.000000,1,3893,NaN,NaN,NaN
23,67.500000,70.500000,0,1,1.000000,2,1422,1092,NaN,NaN
24,6.500000,180.500000,0,1,1.000000,2,2000,1278,NaN,NaN
25,14.500000,13.500000,0,1,1.000000,2,3389,460,NaN,NaN
26,62.500000,95.500000,0,1,1.000000,3,791,1918,1225,NaN
27,82.500000,90.500000,0,1,1.000000,2,108,2964,NaN,NaN
28,23.500000,17.500000,0,1,1.000000,3,3,1229,716,NaN
29,40.500000,124.500000,0,1,1.000000,3,2737,3309,2098,NaN
30,131.500000,15.500000,0,1,1.000000,2,830,2426,NaN,NaN
31,44.500000,135.500000,0,1,1.000000,2,3836,1091,NaN,NaN
32,101.500000,176.500000,0,1,1.000000,3,2500,36,2542,NaN
33,195.500000,157.500000,0,1,1.000000,4,3089,970,3069,1501
34,17.500000,75.500000,0,1,1.000000,3,2827,2763,3765,NaN
35,130.500000,8.500000,0,1,1.000000,1,1790,NaN,NaN,NaN
36,101.500000,177.500000,0,1,1.000000,2,32,3286,NaN,NaN
37,135.500000,32.500000,0,1,1.000000,3,3351,2088,3634,NaN
38,106.500000,168.500000,0,1,1.000000,2,2666,742,NaN,NaN
39,9.500000,103.500000,0,1,1.000000,2,2192,3212,NaN,NaN
40,117.500000,197.500000,0,1,1.000000,3,3665,887,2261,NaN
41,12.500000,10.500000,0,1,1.000000,3,2674,204,3256,NaN
42,106.500000,176.500000,0,1,1.000000,2,9,3928,NaN,NaN
43,112.500000,109.500000,0,1,1.000000,1,1847,NaN,NaN,NaN
44,151.500000,178.500000,0,1,1.000000,3,3104,2416,3670,NaN
45,5.500000,87.500000,0,1,1.000000,4,2496,285,65,1834
46,122.500000,198.500000,0,1,1.000000,1,3419,NaN,NaN,NaN
47,149.500000,178.500000,0,1,1.000000,3,2644,1634,3104,NaN
48,201.500000,100.500000,0,1,1.000000,2,2885,1162,NaN,NaN
49,110.500000,177.500000,0,1,1.000000,3,2640,2858,2879,NaN
