headers=16
lattice=1
N=4096
D=2
maxAttachments=4
folded=1
phi=0.100382
alpha=0.500000
x0_lo=0.000000
x0_hi=202.000000
x1_lo=0.000000
x1_hi=202.000000
x0_periodic=1
x1_periodic=1
seedMass=1000000000000.000000
columns=11
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
0,74.500000,84.500000,1,1,1.000000,3,2490,195,3394,NaN
1,14.500000,73.500000,1,1,1.000000,2,3178,2908,NaN,NaN
2,198.500000,144.500000,1,1,1.000000,3,733,1358,3390,NaN
3,69.500000,21.500000,1,1,1.000000,3,842,3416,2948,NaN
4,96.500000,78.500000,1,1,1.000000,3,1915,3701,1538,NaN
5,89.500000,44.500000,1,1,1.000000,4,3420,636,3429,2436
6,161.500000,200.500000,1,1,1.000000,2,2999,1380,NaN,NaN
7,142.500000,23.500000,1,1,1.000000,3,1068,2018,136,NaN
8,62.500000,194.500000,1,1,1.000000,3,3125,2811,3406,NaN
9,137.500000,142.500000,1,1,1.000000,2,1715,1151,NaN,NaN
10,122.500000,90.500000,1,1,1.000000,3,2536,2314,3942,NaN
11,147.500000,149.500000,1,1,1.000000,4,2355,704,2195,3633
12,78.500000,117.500000,1,1,1.000000,3,3202,3303,2365,NaN
13,65.500000,6.500000,1,1,1.000000,3,3837,1413,1373,NaN
14,16.500000,92.500000,1,1,1.000000,3,3909,3637,1849,NaN
15,75.500000,196.500000,1,1,1.000000,2,2952,2458,NaN,NaN
16,25.500000,116.500000,1,1,1.000000,3,2119,1833,856,NaN
17,131.500000,120.500000,1,1,1.000000,2,1943,1046,NaN,NaN
18,31.500000,106.500000,1,1,1.000000,2,3076,2716,NaN,NaN
19,66.500000,19.500000,1,1,1.000000,3,3765,2532,1165,NaN
20,96.500000,94.500000,1,1,1.000000,3,1519,3112,3601,NaN
21,60.500000,187.500000,1,1,1.000000,3,2739,3652,2512,NaN
22,42.500000,200.500000,1,1,1.000000,2,2059,658,NaN,NaN
23,102.500000,51.500000,1,1,1.000000,3,3744,1170,1463,NaN
24,86.500000,200.500000,1,1,1.000000,2,4002,2396,NaN,NaN
25,59.500000,19.500000,1,1,1.000000,3,281,2447,3840,NaN
26,53.500000,67.500000,1,1,1.000000,3,1125,3995,932,NaN
27,139.500000,39.500000,1,1,1.000000,3,2668,120,3298,NaN
28,74.500000,12.500000,1,1,1.000000,3,1040,422,3455,NaN
29,43.500000,105.500000,1,1,1.000000,3,1039,921,3782,NaN
30,176.500000,51.500000,1,1,1.000000,3,3912,1430,409,NaN
31,195.500000,131.500000,1,1,1.000000,3,265,225,2673,NaN
32,132.500000,3.500000,1,1,1.000000,3,3170,2877,1660,NaN
33,187.500000,143.500000,1,1,1.000000,2,133,2959,NaN,NaN
34,190.500000,38.500000,1,1,1.000000,2,3092,1457,NaN,NaN
35,159.500000,42.500000,1,1,1.000000,3,291,2735,2922,NaN
36,140.500000,9.500000,1,1,1.000000,3,3966,3586,2022,NaN
37,165.500000,105.500000,1,1,1.000000,2,3657,2539,NaN,NaN
38,123.500000,121.500000,1,1,1.000000,3,2449,412,555,NaN
39,15.500000,77.500000,1,1,1.000000,2,3279,1604,NaN,NaN
40,121.500000,25.500000,1,1,1.000000,3,1480,1050,780,NaN
41,71.500000,3.500000,1,1,1.000000,2,2043,2552,NaN,NaN
42,136.500000,145.500000,1,1,1.000000,3,2189,3928,2210,NaN
43,130.500000,100.500000,1,1,1.000000,2,3160,2850,NaN,NaN
44,173.500000,4.500000,1,1,1.000000,2,2704,2319,NaN,NaN
45,19.500000,71.500000,1,1,1.000000,2,2192,1967,NaN,NaN
46,143.500000,24.500000,1,1,1.000000,2,640,136,NaN,NaN
47,175.500000,8.500000,1,1,1.000000,2,1497,3588,NaN,NaN
48,172.500000,52.500000,1,1,1.000000,2,3856,2897,NaN,NaN
49,145.500000,3.500000,1,1,1.000000,3,2712,2479,2781,NaN
50,173.500000,150.500000,1,1,1.000000,4,1993,2782,3008,866
51,61.500000,198.500000,1,1,1.000000,4,695,1515,1117,3500
52,185.500000,13.500000,1,1,1.000000,3,1071,2538,530,NaN
53,159.500000,96.500000,1,1,1.000000,3,3868,2871,3927,NaN
54,152.500000,128.500000,1,1,1.000000,3,254,774,567,NaN
55,166.500000,47.500000,1,1,1.000000,3,2558,1267,650,NaN
56,15.500000,104.500000,1,1,1.000000,2,2840,769,NaN,NaN
57,0.500000,142.500000,1,1,1.000000,2,3838,3723,NaN,NaN
58,142.500000,4.500000,1,1,1.000000,3,801,476,3188,NaN
59,128.500000,125.500000,1,1,1.000000,3,1754,1726,806,NaN
60,201.500000,133.500000,1,1,1.000000,2,2524,2727,NaN,NaN
61,162.500000,139.500000,1,1,1.000000,3,2215,3976,2181,NaN
62,169.500000,6.500000,1,1,1.000000,3,1968,2934,1059,NaN
63,158.500000,114.500000,1,1,1.000000,3,3998,2175,2783,NaN
64,110.500000,21.500000,1,1,1.000000,4,2114,3080,3829,3000
