headers=16
lattice=1
N=4096
D=2
maxAttachments=4
folded=1
phi=0.100382
alpha=0.500000
x0_lo=0.000000
x0_hi=202.000000
x1_lo=0.000000
x1_hi=202.000000
x0_periodic=1
x1_periodic=1
seedMass=1000000000000.000000
columns=11
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
0,92.500000,93.500000,1,1,1.000000,3,2490,1022,2810,NaN
1,39.500000,74.500000,1,1,1.000000,3,727,1566,1008,NaN
2,27.500000,192.500000,1,1,1.000000,3,1358,1815,733,NaN
3,40.500000,46.500000,1,1,1.000000,2,1165,2827,NaN,NaN
4,96.500000,92.500000,1,1,1.000000,2,1915,3971,NaN,NaN
5,80.500000,77.500000,1,1,1.000000,2,3277,3420,NaN,NaN
6,135.500000,12.500000,1,1,1.000000,2,2999,2997,NaN,NaN
7,125.500000,30.500000,1,1,1.000000,3,1068,3842,46,NaN
8,43.500000,24.500000,1,1,1.000000,3,2393,817,1673,NaN
9,117.500000,2.500000,1,1,1.000000,2,1715,2145,NaN,NaN
10,131.500000,112.500000,1,1,1.000000,3,3351,3942,159,NaN
11,129.500000,151.500000,1,1,1.000000,2,2355,704,NaN,NaN
12,96.500000,155.500000,1,1,1.000000,3,2621,1101,962,NaN
13,24.500000,39.500000,1,1,1.000000,4,3934,188,2338,3814
14,28.500000,100.500000,1,1,1.000000,3,3909,3396,1694,NaN
15,50.500000,16.500000,1,1,1.000000,3,2952,1511,781,NaN
16,28.500000,168.500000,1,1,1.000000,2,2119,1782,NaN,NaN
17,125.500000,155.500000,1,1,1.000000,3,2491,2487,1186,NaN
18,25.500000,114.500000,1,1,1.000000,2,1123,2716,NaN,NaN
19,23.500000,48.500000,1,1,1.000000,2,3765,1717,NaN,NaN
20,101.500000,103.500000,1,1,1.000000,2,1519,1532,NaN,NaN
21,46.500000,200.500000,1,1,1.000000,3,2235,1072,1627,NaN
22,23.500000,200.500000,1,1,1.000000,3,2354,366,658,NaN
23,88.500000,62.500000,1,1,1.000000,2,3744,3264,NaN,NaN
24,67.500000,28.500000,1,1,1.000000,2,4002,1444,NaN,NaN
25,19.500000,58.500000,1,1,1.000000,2,281,2447,NaN,NaN
26,66.500000,76.500000,1,1,1.000000,3,1125,3995,2455,NaN
27,137.500000,48.500000,1,1,1.000000,2,2668,1727,NaN,NaN
28,43.500000,42.500000,1,1,1.000000,3,1040,422,3455,NaN
29,28.500000,120.500000,1,1,1.000000,3,975,3179,3333,NaN
30,152.500000,89.500000,1,1,1.000000,3,3912,415,707,NaN
31,28.500000,181.500000,1,1,1.000000,2,265,225,NaN,NaN
32,91.500000,35.500000,1,1,1.000000,3,3170,551,446,NaN
33,15.500000,186.500000,1,1,1.000000,3,133,1281,2550,NaN
34,18.500000,67.500000,1,1,1.000000,2,3051,3731,NaN,NaN
35,134.500000,60.500000,1,1,1.000000,3,291,2735,851,NaN
36,101.500000,30.500000,1,1,1.000000,2,595,3616,NaN,NaN
37,151.500000,110.500000,1,1,1.000000,4,905,637,2061,1395
38,116.500000,156.500000,1,1,1.000000,2,2079,3459,NaN,NaN
39,40.500000,78.500000,1,1,1.000000,4,3279,2848,2695,3375
40,113.500000,34.500000,1,1,1.000000,2,1480,3708,NaN,NaN
41,29.500000,34.500000,1,1,1.000000,3,2043,618,3460,NaN
42,112.500000,7.500000,1,1,1.000000,3,3228,2180,3188,NaN
43,141.500000,120.500000,1,1,1.000000,3,784,2130,3549,NaN
44,145.500000,15.500000,1,1,1.000000,3,2704,98,3166,NaN
45,22.500000,65.500000,1,1,1.000000,3,2192,3323,2001,NaN
