headers=15
lattice=0
N=10
D=2
maxAttachments=5
folded=0
x0_lo=0.000000
x0_hi=10.000000
x1_lo=0.000000
x1_hi=10.000000
x0_periodic=1
x1_periodic=1
seedMass=1000000000000.000000
phi=0.100000
alpha=-0.500000
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4,att_5
0,0.500000,0.500000,1,1,1.000000,1,9,NaN,NaN,NaN,NaN
1,0.500000,0.500000,1,1,1.000000,2,3,2,NaN,NaN,NaN
2,0.500000,0.500000,1,1,1.000000,1,1,NaN,NaN,NaN,NaN
3,0.500000,0.500000,1,1,1.000000,4,9,4,5,1,NaN
4,0.500000,0.500000,1,1,1.000000,1,3,NaN,NaN,NaN,NaN
5,0.500000,0.500000,1,1,1.000000,1,3,NaN,NaN,NaN,NaN
6,0.500000,0.500000,1,1,1.000000,1,9,NaN,NaN,NaN,NaN
7,0.500000,0.500000,1,1,1.000000,1,9,NaN,NaN,NaN,NaN
8,0.500000,0.500000,1,1,1.000000,1,9,NaN,NaN,NaN,NaN
9,0.500000,0.500000,1,1,1.000000,5,0,8,6,7,3
