headers=17
lattice=1
N=1024
D=2
phi=0.000488
folded=1
x0_lo=-0.500000
x0_hi=127.500000
x1_lo=-0.500000
x1_hi=127.500000
x0_periodic=1
x1_periodic=1
iters=33739
alpha=-0.500000
seedMass=1000000000000.000000
maxAttachments=4
columns=12
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
116,42,29,1,1,1,2,695,3,NaN,NaN
117,24,102,1,1,1,3,827,640,521,NaN
118,102,14,1,1,1,1,224,NaN,NaN,NaN
119,98,21,1,1,1,1,1021,NaN,NaN,NaN
120,104,47,1,1,1,1,719,NaN,NaN,NaN
121,14,14,1,1,1,2,233,545,NaN,NaN
122,18,122,1,1,1,2,184,983,NaN,NaN
123,93,37,1,1,1,2,9,560,NaN,NaN
124,4,50,1,1,1,2,56,494,NaN,NaN
125,61,13,1,1,1,2,810,844,NaN,NaN
126,37,100,1,1,1,2,442,18,NaN,NaN
127,111,102,1,1,1,1,992,NaN,NaN,NaN
128,5,6,1,1,1,2,800,663,NaN,NaN
129,57,90,1,1,1,2,186,214,NaN,NaN
130,87,102,1,1,1,1,618,NaN,NaN,NaN
131,7,58,1,1,1,2,74,372,NaN,NaN
132,92,42,1,1,1,2,790,382,NaN,NaN
133,15,15,1,1,1,1,545,NaN,NaN,NaN
134,104,109,1,1,1,2,668,571,NaN,NaN
135,11,58,1,1,1,2,361,893,NaN,NaN
136,111,19,1,1,1,2,58,237,NaN,NaN
137,41,102,1,1,1,3,650,446,197,NaN
138,9,55,1,1,1,2,71,410,NaN,NaN
139,94,25,1,1,1,1,987,NaN,NaN,NaN
140,95,109,1,1,1,3,641,200,78,NaN
141,92,34,1,1,1,2,22,171,NaN,NaN
142,91,32,1,1,1,2,858,529,NaN,NaN
143,32,99,1,1,1,3,40,254,909,NaN
144,29,96,1,1,1,2,359,511,NaN,NaN
145,10,5,1,1,1,3,68,738,198,NaN
146,84,100,1,1,1,1,855,NaN,NaN,NaN
147,30,97,1,1,1,3,511,796,50,NaN
148,102,42,1,1,1,1,199,NaN,NaN,NaN
149,44,22,1,1,1,2,348,437,NaN,NaN
150,21,0,1,1,1,2,994,788,NaN,NaN
151,90,93,1,1,1,1,870,NaN,NaN,NaN
152,110,42,1,1,1,1,253,NaN,NaN,NaN
153,11,15,1,1,1,1,584,NaN,NaN,NaN
154,45,103,1,1,1,3,763,235,252,NaN
155,14,125,1,1,1,1,654,NaN,NaN,NaN
156,102,109,1,1,1,2,864,571,NaN,NaN
157,8,62,1,1,1,2,900,950,NaN,NaN
158,40,24,1,1,1,2,443,625,NaN,NaN
159,45,20,1,1,1,3,749,910,345,NaN
160,115,99,1,1,1,2,82,238,NaN,NaN
161,102,50,1,1,1,2,871,747,NaN,NaN
162,94,108,1,1,1,2,339,78,NaN,NaN
163,6,63,1,1,1,3,995,887,836,NaN
164,3,10,1,1,1,1,38,NaN,NaN,NaN
165,55,17,1,1,1,3,662,918,504,NaN
166,96,27,1,1,1,2,553,642,NaN,NaN
167,111,47,1,1,1,2,799,792,NaN,NaN
168,113,21,1,1,1,1,660,NaN,NaN,NaN
169,21,102,1,1,1,2,188,525,NaN,NaN
170,10,121,1,1,1,2,563,924,NaN,NaN
171,92,35,1,1,1,2,141,582,NaN,NaN
172,95,28,1,1,1,2,553,822,NaN,NaN
173,11,126,1,1,1,2,596,322,NaN,NaN
174,22,7,1,1,1,2,590,196,NaN,NaN
175,91,24,1,1,1,1,193,NaN,NaN,NaN
176,28,4,1,1,1,3,573,605,426,NaN
177,28,13,1,1,1,2,526,499,NaN,NaN
178,22,3,1,1,1,2,999,928,NaN,NaN
179,48,19,1,1,1,2,602,432,NaN,NaN
180,10,119,1,1,1,2,415,64,NaN,NaN
181,44,18,1,1,1,2,829,500,NaN,NaN
182,97,47,1,1,1,2,723,236,NaN,NaN
183,59,14,1,1,1,1,485,NaN,NaN,NaN
184,18,123,1,1,1,3,816,122,318,NaN
185,115,47,1,1,1,2,771,337,NaN,NaN
186,56,90,1,1,1,2,886,129,NaN,NaN
187,95,46,1,1,1,2,606,645,NaN,NaN
188,22,102,1,1,1,2,169,521,NaN,NaN
189,9,53,1,1,1,2,31,410,NaN,NaN
190,104,99,1,1,1,2,357,374,NaN,NaN
191,41,22,1,1,1,3,619,937,787,NaN
192,38,22,1,1,1,3,704,215,286,NaN
193,92,24,1,1,1,3,175,285,517,NaN
194,39,104,1,1,1,2,453,677,NaN,NaN
195,118,15,1,1,1,2,400,360,NaN,NaN
196,22,8,1,1,1,3,174,776,114,NaN
197,42,102,1,1,1,2,817,137,NaN,NaN
198,9,5,1,1,1,3,793,145,32,NaN
199,102,43,1,1,1,3,148,833,925,NaN
200,96,109,1,1,1,2,140,51,NaN,NaN
201,107,12,1,1,1,2,371,366,NaN,NaN
202,6,117,1,1,1,2,8,256,NaN,NaN
203,104,97,1,1,1,2,401,52,NaN,NaN
204,47,105,1,1,1,2,75,336,NaN,NaN
205,24,99,1,1,1,2,90,943,NaN,NaN
206,11,7,1,1,1,2,104,1010,NaN,NaN
207,1,64,1,1,1,1,402,NaN,NaN,NaN
208,121,47,1,1,1,2,687,225,NaN,NaN
