headers=17
lattice=1
N=1024
D=2
maxAttachments=4
folded=1
phi=0.062500
iters=32262
alpha=-0.500000
x0_lo=-0.500000
x0_hi=127.500000
x1_lo=-0.500000
x1_hi=127.500000
x0_periodic=1
x1_periodic=1
seedMass=1.000000
columns=11
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
103,86,114,0,1,1.000000,2,609,938,NaN,NaN
104,75,101,0,1,1.000000,3,183,458,473,NaN
105,58,74,0,1,1.000000,2,328,325,NaN,NaN
106,95,71,0,1,1.000000,2,570,923,NaN,NaN
107,3,102,0,1,1.000000,1,231,NaN,NaN,NaN
108,105,90,0,1,1.000000,2,523,629,NaN,NaN
109,63,93,0,1,1.000000,2,900,530,NaN,NaN
110,108,70,0,1,1.000000,1,142,NaN,NaN,NaN
111,13,102,0,1,1.000000,2,391,839,NaN,NaN
112,80,83,0,1,1.000000,1,446,NaN,NaN,NaN
113,81,117,0,1,1.000000,3,173,815,11,NaN
114,126,106,0,1,1.000000,3,767,470,151,NaN
115,3,90,0,1,1.000000,2,605,175,NaN,NaN
116,87,75,0,1,1.000000,2,131,465,NaN,NaN
117,3,94,0,1,1.000000,1,330,NaN,NaN,NaN
118,97,92,0,1,1.000000,2,411,579,NaN,NaN
119,1,111,0,1,1.000000,3,534,513,195,NaN
120,81,84,0,1,1.000000,2,726,446,NaN,NaN
121,93,74,0,1,1.000000,2,138,963,NaN,NaN
122,111,57,0,1,1.000000,2,691,71,NaN,NaN
123,107,45,0,1,1.000000,2,374,635,NaN,NaN
124,108,50,0,1,1.000000,1,757,NaN,NaN,NaN
125,9,93,0,1,1.000000,2,709,448,NaN,NaN
126,108,48,0,1,1.000000,2,415,501,NaN,NaN
127,110,65,0,1,1.000000,3,742,628,1007,NaN
128,105,47,0,1,1.000000,2,98,828,NaN,NaN
129,87,10,0,1,1.000000,2,1005,199,NaN,NaN
130,114,44,0,1,1.000000,3,819,741,100,NaN
131,88,75,0,1,1.000000,2,529,116,NaN,NaN
132,72,93,0,1,1.000000,2,840,253,NaN,NaN
133,99,91,0,1,1.000000,2,719,996,NaN,NaN
134,39,87,0,1,1.000000,2,889,267,NaN,NaN
135,88,82,0,1,1.000000,2,171,590,NaN,NaN
136,80,85,0,1,1.000000,2,137,446,NaN,NaN
137,80,86,0,1,1.000000,3,136,859,293,NaN
138,93,73,0,1,1.000000,3,121,977,506,NaN
139,108,46,0,1,1.000000,1,983,NaN,NaN,NaN
140,105,99,0,1,1.000000,3,936,94,898,NaN
141,115,96,0,1,1.000000,3,614,502,699,NaN
142,107,70,0,1,1.000000,3,601,110,441,NaN
143,40,83,0,1,1.000000,3,489,468,428,NaN
144,60,90,0,1,1.000000,2,299,48,NaN,NaN
145,126,98,0,1,1.000000,2,733,323,NaN,NaN
146,70,96,0,1,1.000000,2,786,68,NaN,NaN
147,84,112,0,1,1.000000,3,706,693,58,NaN
148,62,90,0,1,1.000000,2,299,81,NaN,NaN
149,39,78,0,1,1.000000,3,355,509,825,NaN
150,113,41,0,1,1.000000,1,932,NaN,NaN,NaN
151,127,106,0,1,1.000000,4,114,249,9,251
152,121,80,0,1,1.000000,2,857,954,NaN,NaN
153,4,101,0,1,1.000000,3,445,231,890,NaN
154,8,91,0,1,1.000000,2,729,337,NaN,NaN
155,101,80,0,1,1.000000,2,305,482,NaN,NaN
156,80,105,0,1,1.000000,3,916,751,788,NaN
157,77,10,0,1,1.000000,1,838,NaN,NaN,NaN
158,124,84,0,1,1.000000,3,933,426,710,NaN
159,57,75,0,1,1.000000,2,325,544,NaN,NaN
160,71,92,0,1,1.000000,2,703,253,NaN,NaN
161,78,123,0,1,1.000000,2,688,187,NaN,NaN
162,78,120,0,1,1.000000,2,216,416,NaN,NaN
163,79,6,0,1,1.000000,1,519,NaN,NaN,NaN
164,53,76,0,1,1.000000,2,496,610,NaN,NaN
165,105,94,0,1,1.000000,2,491,341,NaN,NaN
166,112,112,0,1,1.000000,2,972,892,NaN,NaN
167,124,98,0,1,1.000000,2,516,323,NaN,NaN
168,123,91,0,1,1.000000,3,639,483,937,NaN
169,114,95,0,1,1.000000,2,614,550,NaN,NaN
170,59,75,0,1,1.000000,2,328,0,NaN,NaN
171,88,81,0,1,1.000000,2,135,875,NaN,NaN
172,46,76,0,1,1.000000,2,856,79,NaN,NaN
173,80,117,0,1,1.000000,1,113,NaN,NaN,NaN
174,87,15,0,1,1.000000,2,968,363,NaN,NaN
175,3,89,0,1,1.000000,1,115,NaN,NaN,NaN
176,47,78,0,1,1.000000,1,392,NaN,NaN,NaN
177,127,110,0,1,1.000000,3,984,407,870,NaN
178,123,85,0,1,1.000000,3,381,227,710,NaN
179,124,94,0,1,1.000000,2,750,802,NaN,NaN
180,124,90,0,1,1.000000,2,873,937,NaN,NaN
181,116,52,0,1,1.000000,1,343,NaN,NaN,NaN
182,40,81,0,1,1.000000,1,489,NaN,NaN,NaN
183,74,101,0,1,1.000000,1,104,NaN,NaN,NaN
