headers=18
lattice=1
L=128
N=1024
D=2
folded=1
phi=0.000488
x0_lo=-0.500000
x0_hi=127.500000
x1_lo=-0.500000
x1_hi=127.500000
x0_periodic=1
x1_periodic=1
iters=33413
alpha=-0.500000
seedMass=1000000000000.000000
maxAttachments=4
columns=12
id,x0,x1,assignedSeedStatus,currentSeedStatus,diameter,attachments,att_1,att_2,att_3,att_4
116,106,108,1,1,1,1,915,NaN,NaN,NaN
117,40,8,1,1,1,1,469,NaN,NaN,NaN
118,97,98,1,1,1,2,367,134,NaN,NaN
119,113,71,1,1,1,2,842,814,NaN,NaN
120,39,2,1,1,1,1,229,NaN,NaN,NaN
121,61,10,1,1,1,2,124,466,NaN,NaN
122,108,65,1,1,1,2,681,673,NaN,NaN
123,31,116,1,1,1,2,642,712,NaN,NaN
124,61,11,1,1,1,2,121,580,NaN,NaN
125,14,80,1,1,1,2,510,390,NaN,NaN
126,58,118,1,1,1,2,738,376,NaN,NaN
127,57,116,1,1,1,2,879,28,NaN,NaN
128,63,10,1,1,1,2,996,327,NaN,NaN
129,105,66,1,1,1,2,949,682,NaN,NaN
130,91,103,1,1,1,3,844,740,748,NaN
131,109,96,1,1,1,2,604,870,NaN,NaN
132,7,90,1,1,1,2,260,593,NaN,NaN
133,107,92,1,1,1,2,774,265,NaN,NaN
134,97,99,1,1,1,2,902,118,NaN,NaN
135,96,100,1,1,1,2,902,761,NaN,NaN
136,112,70,1,1,1,3,753,814,596,NaN
137,60,4,1,1,1,3,497,858,530,NaN
138,67,119,1,1,1,2,322,1008,NaN,NaN
139,19,109,1,1,1,1,983,NaN,NaN,NaN
140,1,77,1,1,1,2,763,973,NaN,NaN
141,86,91,1,1,1,2,986,178,NaN,NaN
142,17,87,1,1,1,2,65,542,NaN,NaN
143,36,124,1,1,1,2,662,813,NaN,NaN
144,17,106,1,1,1,2,704,167,NaN,NaN
145,36,117,1,1,1,2,32,502,NaN,NaN
146,83,87,1,1,1,2,339,350,NaN,NaN
147,80,88,1,1,1,3,811,374,192,NaN
148,53,5,1,1,1,2,984,185,NaN,NaN
149,41,115,1,1,1,2,977,675,NaN,NaN
150,24,102,1,1,1,2,60,338,NaN,NaN
